url,year,percentage
"http://www.trendlist.org/trends/text-on-cover
",2008,2
"http://www.trendlist.org/trends/text-on-cover
",2007,2
"http://www.trendlist.org/trends/text-on-cover
",2006,1
"http://www.trendlist.org/trends/text-on-cover
",2005,1
"http://www.trendlist.org/trends/text-on-cover
",2002,1
"http://www.trendlist.org/trends/text-on-cover
",1996,1
"http://www.trendlist.org/trends/text-on-cover
",1995,1
"http://www.trendlist.org/trends/text-on-cover
",N/A,27662721893491
"http://www.trendlist.org/trends/type-on-path
",2015,12
"http://www.trendlist.org/trends/type-on-path
",2014,14
"http://www.trendlist.org/trends/type-on-path
",2013,14
"http://www.trendlist.org/trends/type-on-path
",2012,12
"http://www.trendlist.org/trends/type-on-path
",2011,4
"http://www.trendlist.org/trends/type-on-path
",2010,2
"http://www.trendlist.org/trends/type-on-path
",2009,1
"http://www.trendlist.org/trends/type-on-path
",N/A,26194968553459
"http://www.trendlist.org/trends/randomized
",2016,2
"http://www.trendlist.org/trends/randomized
",2015,10
"http://www.trendlist.org/trends/randomized
",2014,10
"http://www.trendlist.org/trends/randomized
",2013,16
"http://www.trendlist.org/trends/randomized
",2012,15
"http://www.trendlist.org/trends/randomized
",2011,7
"http://www.trendlist.org/trends/randomized
",2010,2
"http://www.trendlist.org/trends/randomized
",2009,2
"http://www.trendlist.org/trends/randomized
",N/A,21441441441441
"http://www.trendlist.org/trends/highlighted
",2015,1
"http://www.trendlist.org/trends/highlighted
",2014,3
"http://www.trendlist.org/trends/highlighted
",2013,5
"http://www.trendlist.org/trends/highlighted
",2012,4
"http://www.trendlist.org/trends/highlighted
",2011,7
"http://www.trendlist.org/trends/highlighted
",2010,11
"http://www.trendlist.org/trends/highlighted
",2009,7
"http://www.trendlist.org/trends/highlighted
",2008,10
"http://www.trendlist.org/trends/highlighted
",2007,7
"http://www.trendlist.org/trends/highlighted
",2006,4
"http://www.trendlist.org/trends/highlighted
",2004,1
"http://www.trendlist.org/trends/highlighted
",N/A,27087912087912
"http://www.trendlist.org/trends/strikethrough
",2015,1
"http://www.trendlist.org/trends/strikethrough
",2014,7
"http://www.trendlist.org/trends/strikethrough
",2013,8
"http://www.trendlist.org/trends/strikethrough
",2012,10
"http://www.trendlist.org/trends/strikethrough
",2011,9
"http://www.trendlist.org/trends/strikethrough
",2010,8
"http://www.trendlist.org/trends/strikethrough
",2009,5
"http://www.trendlist.org/trends/strikethrough
",2008,2
"http://www.trendlist.org/trends/strikethrough
",2007,4
"http://www.trendlist.org/trends/strikethrough
",2006,1
"http://www.trendlist.org/trends/strikethrough
",2002,2
"http://www.trendlist.org/trends/strikethrough
",N/A,27321428571429
"http://www.trendlist.org/trends/diagonal-pattern
",2015,1
"http://www.trendlist.org/trends/diagonal-pattern
",2014,6
"http://www.trendlist.org/trends/diagonal-pattern
",2013,8
"http://www.trendlist.org/trends/diagonal-pattern
",2012,4
"http://www.trendlist.org/trends/diagonal-pattern
",2011,9
"http://www.trendlist.org/trends/diagonal-pattern
",2010,6
"http://www.trendlist.org/trends/diagonal-pattern
",2009,3
"http://www.trendlist.org/trends/diagonal-pattern
",2008,4
"http://www.trendlist.org/trends/diagonal-pattern
",2007,1
"http://www.trendlist.org/trends/diagonal-pattern
",2006,7
"http://www.trendlist.org/trends/diagonal-pattern
",2005,4
"http://www.trendlist.org/trends/diagonal-pattern
",N/A,32012987012987
"http://www.trendlist.org/trends/rhombus
",2015,2
"http://www.trendlist.org/trends/rhombus
",2014,6
"http://www.trendlist.org/trends/rhombus
",2013,7
"http://www.trendlist.org/trends/rhombus
",2012,9
"http://www.trendlist.org/trends/rhombus
",2011,17
"http://www.trendlist.org/trends/rhombus
",2010,5
"http://www.trendlist.org/trends/rhombus
",2009,5
"http://www.trendlist.org/trends/rhombus
",2008,2
"http://www.trendlist.org/trends/rhombus
",2007,1
"http://www.trendlist.org/trends/rhombus
",N/A,30357142857143
"http://www.trendlist.org/trends/ancient-statues
",2015,8
"http://www.trendlist.org/trends/ancient-statues
",2014,26
"http://www.trendlist.org/trends/ancient-statues
",2013,14
"http://www.trendlist.org/trends/ancient-statues
",2012,6
"http://www.trendlist.org/trends/ancient-statues
",N/A,31627906976744
"http://www.trendlist.org/trends/infinity-shapes
",2015,2
"http://www.trendlist.org/trends/infinity-shapes
",2014,9
"http://www.trendlist.org/trends/infinity-shapes
",2013,9
"http://www.trendlist.org/trends/infinity-shapes
",2012,11
"http://www.trendlist.org/trends/infinity-shapes
",2011,7
"http://www.trendlist.org/trends/infinity-shapes
",2010,9
"http://www.trendlist.org/trends/infinity-shapes
",2009,9
"http://www.trendlist.org/trends/infinity-shapes
",2008,7
"http://www.trendlist.org/trends/infinity-shapes
",2007,2
"http://www.trendlist.org/trends/infinity-shapes
",N/A,21794871794872
"http://www.trendlist.org/trends/mickey-hands
",2015,10
"http://www.trendlist.org/trends/mickey-hands
",2014,15
"http://www.trendlist.org/trends/mickey-hands
",2013,5
"http://www.trendlist.org/trends/mickey-hands
",2012,15
"http://www.trendlist.org/trends/mickey-hands
",2011,10
"http://www.trendlist.org/trends/mickey-hands
",2010,3
"http://www.trendlist.org/trends/mickey-hands
",N/A,275
